Year,Date,Setlist
1969,07/12/69,alligator:drums:alligator:dark star jam:the other one:st. stephen:the eleven:turn on your love light:mountains of the moon:green green grass of home:slewfoot:
1969,08/02/69,hard to handle:mama tried:high time:silver threads:slewfoot:i'm a king bee:cryptical envelopment:drums:the other one:cryptical envelopment:turn on your love light:
1969,08/03/69,hard to handle:beat it on down the line:hi heeled sneakers:high time:mama tried:dark star:alligator:drums:alligator:caution (do not stop on tracks):and we bid you goodnight:
1969,08/16/69,st. stephen:mama tried:dark star:high time:turn on your love light:
1969,08/20/69,big boss man:sitting on top of the world:cryptical envelopment:drums:the other one:cryptical envelopment:dark star:cosmic charlie:
1969,08/28/69,it's a sin:hi heeled sneakers:dark star:the eleven jam:dark star::
1969,08/29/69,china cat sunflower:sitting on top of the world:dark star:st. stephen:the eleven:drums:high time:cold rain and snow:
1969,08/30/69,china cat sunflower:jam:doin' that rag:morning dew:easy wind:me and my uncle:dark star:st. stephen:the eleven:drums:high time:
1969,09/01/69,casey jones:morning dew:mama tried:high time:easy wind:dark star:st. stephen:the eleven:turn on your love light:
1969,09/06/69,dancin' in the streets:jam:casey jones:good morning little school girl:doin' that rag:he was a friend of mine:big boy pete:good lovin':it's all over now:
1969,09/07/69,peggy sue:that'll be the day:johnny b. goode:baby what you want me to do:wipe out:big railroad blues:louie louie:twist & shout:blue moon:
1969,09/26/69,turn on your love light:
1969,09/26/69,dark star:st. stephen:the eleven:death don't have no mercy:i'm a king bee:
1969,09/27/69,mama tried:good morning little school girl:
1969,09/27/69,morning dew:mama tried:next time you see me:casey jones:china cat sunflower:high time:dire wolf:me and my uncle:uncle john's band jam:
1969,09/29/69,doin' that rag:the seven:good lovin':drums:good lovin':st. stephen:the eleven:
1969,09/30/69,alligator:drums:the other one:china cat sunflower:i know you rider:
1969,10/24/69,casey jones:dire wolf:high time:hard to handle:china cat sunflower:i know you rider:easy wind:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:mama tried:good lovin':drums:good lovin':
1969,10/25/69,good lovin':drums:good lovin':me and my uncle:china cat sunflower:i know you rider:casey jones:high time:dark star:st. stephen:the eleven:turn on your love light:
1969,10/26/69,hard to handle:cold rain and snow:me and my uncle:next time you see me:dire wolf:casey jones:i'm a king bee:beat it on down the line:good lovin':drums:good lovin':doin' that rag:china cat sunflower:i know you rider:it's all over now baby blue:
1969,10/31/69,casey jones:dire wolf:it hurts me too:cryptical envelopment:drums:the other one:cryptical envelopment:china cat sunflower:i know you rider:mama tried:high time:sitting on top of the world:next time you see me:easy wind:turn on your love light:
1969,11/01/69,morning dew:dire wolf:cold rain and snow:hard to handle:mama tried:high time:next time you see me:casey jones:he was a friend of mine:good lovin':drums:good lovin':easy wind:china cat sunflower:i know you rider:alligator:drums:turn on your love light:
1969,11/02/69,cold rain and snow:in the midnight hour:seasons:mama tried:next time you see me:good lovin':big boss man:casey jones:dancin' in the streets:dark star:st. stephen:the eleven:death don't have no mercy:
1969,11/07/69,morning dew:hard to handle:casey jones:mama tried:me and my uncle:cold rain and snow:next time you see me:high time:good lovin':drums:good lovin':china cat sunflower:i know you rider:dark star:cryptical envelopment:drums:the other one:cryptical envelopment:turn on your love light:
1969,11/08/69,good morning little school girl:casey jones:dire wolf:easy wind:i'm a king bee:china cat sunflower:i know you rider:high time:mama tried:good lovin':drums:good lovin':cumberland blues:dark star:the other one:dark star:uncle john's band jam:dark star:st. stephen:the eleven:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,11/15/69,casey jones:me and my uncle:easy wind:cumberland blues:china cat sunflower:i know you rider:high time:next time you see me:mama tried:big boss man:cosmic charlie:dire wolf:cold rain and snow:good lovin':drums:good lovin':turn on your love light:
1969,11/21/69,casey jones:good morning little school girl:cold rain and snow:cumberland blues:easy wind:good lovin':drums:good lovin':china cat sunflower:i know you rider:high time:me and my uncle:turn on your love light:
1969,12/04/69,casey jones:black peter:big boss man:me and my uncle:cumberland blues:dire wolf:dark star:high time:good morning little school girl:good lovin':drums:good lovin':china cat sunflower:i know you rider:uncle john's band:
